stock_code,trade_time,trade_date,open,close,high,low,volume,amount,change_pct,change,turnover_ratio,pre_close
600138,2024-01-02 00:00:00,2024-01-02,10.52,10.63,10.77,10.5,10276100,110148999.0,0.85,0.09,1.42,10.54
600138,2024-01-03 00:00:00,2024-01-03,10.6,10.78,10.84,10.58,14058500,151883336.0,1.41,0.15,1.94,10.63
600138,2024-01-04 00:00:00,2024-01-04,10.76,10.81,10.96,10.69,15484500,168594584.0,0.28,0.03,2.14,10.78
600138,2024-01-05 00:00:00,2024-01-05,10.76,10.58,10.95,10.53,18111700,195752237.0,-2.13,-0.23,2.5,10.81
600138,2024-01-08 00:00:00,2024-01-08,10.62,10.53,10.79,10.53,12624600,135473816.0,-0.47,-0.05,1.74,10.58
600138,2024-01-09 00:00:00,2024-01-09,10.53,10.9,11.05,10.52,26259500,287056932.0,3.51,0.37,3.63,10.53
600138,2024-01-10 00:00:00,2024-01-10,10.82,10.71,10.85,10.62,16131100,174365808.0,-1.74,-0.19,2.23,10.9
600138,2024-01-11 00:00:00,2024-01-11,10.68,10.7,10.82,10.57,14367800,154589321.0,-0.09,-0.01,1.98,10.71
600138,2024-01-12 00:00:00,2024-01-12,10.62,10.59,10.7,10.52,10646200,113704084.0,-1.03,-0.11,1.47,10.7
600138,2024-01-15 00:00:00,2024-01-15,10.52,10.93,11.0,10.47,28797800,315214010.0,3.21,0.34,3.98,10.59
600138,2024-01-16 00:00:00,2024-01-16,10.92,10.95,11.09,10.82,27699600,306026710.0,0.18,0.02,3.83,10.93
600138,2024-01-17 00:00:00,2024-01-17,10.91,10.56,10.96,10.53,18790300,202626352.0,-3.56,-0.39,2.6,10.95
600138,2024-01-18 00:00:00,2024-01-18,10.42,10.4,10.46,10.08,19617100,202368328.0,-1.52,-0.16,2.71,10.56
600138,2024-01-19 00:00:00,2024-01-19,10.36,10.72,10.92,10.26,24290000,260208184.0,3.08,0.32,3.36,10.4
600138,2024-01-22 00:00:00,2024-01-22,10.62,10.08,10.63,9.98,21927900,227576968.0,-5.97,-0.64,3.03,10.72
600138,2024-01-23 00:00:00,2024-01-23,10.09,10.09,10.16,9.76,16185000,162247533.0,0.1,0.01,2.24,10.08
600138,2024-01-24 00:00:00,2024-01-24,10.1,10.29,10.32,9.91,15706600,159959240.0,1.98,0.2,2.17,10.09
600138,2024-01-25 00:00:00,2024-01-25,10.28,11.33,11.33,10.21,58865000,652631790.0,10.11,1.04,8.13,10.29
600138,2024-01-26 00:00:00,2024-01-26,11.43,11.23,11.56,11.21,61671900,706804478.0,-0.88,-0.1,8.52,11.33
600138,2024-01-29 00:00:00,2024-01-29,11.17,11.16,11.54,11.15,41180200,470128848.0,-0.62,-0.07,5.69,11.23
600138,2024-01-30 00:00:00,2024-01-30,11.04,11.0,11.31,10.95,29296600,328038308.0,-1.43,-0.16,4.05,11.16
600138,2024-01-31 00:00:00,2024-01-31,10.87,10.22,11.11,10.17,44663500,477889141.0,-7.09,-0.78,6.17,11.0
600138,2024-02-01 00:00:00,2024-02-01,9.92,10.0,10.12,9.42,34639800,341886267.0,-2.15,-0.22,4.79,10.22
600138,2024-02-02 00:00:00,2024-02-02,9.87,9.95,10.3,9.52,28814400,287873821.0,-0.5,-0.05,3.98,10.0
600138,2024-02-05 00:00:00,2024-02-05,9.83,9.17,9.83,9.09,29045800,274133006.0,-7.84,-0.78,4.01,9.95
600138,2024-02-06 00:00:00,2024-02-06,9.05,9.6,9.78,8.8,26427900,247616716.0,4.69,0.43,3.65,9.17
600138,2024-02-07 00:00:00,2024-02-07,9.6,9.92,10.02,9.54,23689000,235233589.0,3.33,0.32,3.27,9.6
600138,2024-02-08 00:00:00,2024-02-08,9.94,10.28,10.33,9.94,22493200,230984324.0,3.63,0.36,3.11,9.92
600138,2024-02-19 00:00:00,2024-02-19,10.45,10.2,10.57,10.1,24731000,256340667.0,-0.78,-0.08,3.42,10.28
600138,2024-02-20 00:00:00,2024-02-20,10.11,10.03,10.17,9.92,19110600,192578507.0,-1.67,-0.17,2.64,10.2
600138,2024-02-21 00:00:00,2024-02-21,9.92,10.09,10.33,9.9,26353800,270049413.0,0.6,0.06,3.64,10.03
600138,2024-02-22 00:00:00,2024-02-22,10.03,10.17,10.28,10.03,19753800,202041351.0,0.79,0.08,2.73,10.09
600138,2024-02-23 00:00:00,2024-02-23,10.14,10.19,10.19,10.03,17852200,182317536.0,0.2,0.02,2.47,10.17
600138,2024-02-26 00:00:00,2024-02-26,10.17,10.2,10.33,10.07,16978700,174332350.0,0.1,0.01,2.35,10.19
600138,2024-02-27 00:00:00,2024-02-27,10.25,10.41,10.43,10.22,22956900,239097712.0,2.06,0.21,3.17,10.2
600138,2024-02-28 00:00:00,2024-02-28,10.35,10.09,10.68,10.04,32234800,338094535.0,-3.07,-0.32,4.45,10.41
600138,2024-02-29 00:00:00,2024-02-29,10.07,10.32,10.34,10.04,20000400,205536104.0,2.28,0.23,2.76,10.09
600138,2024-03-01 00:00:00,2024-03-01,10.3,10.26,10.38,10.18,16458300,170019539.0,-0.58,-0.06,2.27,10.32
600138,2024-03-04 00:00:00,2024-03-04,10.23,10.14,10.3,10.08,14483300,148152741.0,-1.17,-0.12,2.0,10.26
600138,2024-03-05 00:00:00,2024-03-05,10.1,10.18,10.29,10.07,15769100,161678830.0,0.39,0.04,2.18,10.14
600138,2024-03-06 00:00:00,2024-03-06,10.16,10.18,10.22,10.07,12410300,126792384.0,0.0,0.0,1.71,10.18
600138,2024-03-07 00:00:00,2024-03-07,10.18,10.4,10.44,10.16,27076700,280923351.0,2.16,0.22,3.74,10.18
600138,2024-03-08 00:00:00,2024-03-08,10.3,10.34,10.35,10.18,19530500,201845736.0,-0.58,-0.06,2.7,10.4
600138,2024-03-11 00:00:00,2024-03-11,10.31,10.42,10.42,10.25,16160700,168605161.0,0.77,0.08,2.23,10.34
600138,2024-03-12 00:00:00,2024-03-12,10.43,10.67,10.72,10.39,25908800,275583212.0,2.4,0.25,3.58,10.42
600138,2024-03-13 00:00:00,2024-03-13,10.6,10.65,10.74,10.52,18210900,195261847.0,-0.19,-0.02,2.52,10.67
600138,2024-03-14 00:00:00,2024-03-14,10.6,10.72,10.89,10.6,23225900,251933788.0,0.66,0.07,3.21,10.65
600138,2024-03-15 00:00:00,2024-03-15,10.65,10.85,10.97,10.64,17639500,191950016.0,1.21,0.13,2.44,10.72
600138,2024-03-18 00:00:00,2024-03-18,10.81,10.88,10.9,10.75,16914800,184283816.0,0.28,0.03,2.34,10.85
600138,2024-03-19 00:00:00,2024-03-19,10.86,10.7,10.88,10.69,15090800,163902539.0,-1.65,-0.18,2.08,10.88
600138,2024-03-20 00:00:00,2024-03-20,10.7,10.82,10.84,10.69,11706700,127336658.0,1.12,0.12,1.62,10.7
600138,2024-03-21 00:00:00,2024-03-21,10.82,10.94,11.05,10.82,18956300,208814100.0,1.11,0.12,2.62,10.82
600138,2024-03-22 00:00:00,2024-03-22,10.92,10.74,11.0,10.69,15323600,166815011.0,-1.83,-0.2,2.12,10.94
600138,2024-03-25 00:00:00,2024-03-25,10.69,10.51,10.72,10.48,14268500,152539918.0,-2.14,-0.23,1.97,10.74
600138,2024-03-26 00:00:00,2024-03-26,10.5,10.54,10.56,10.32,12183300,128294071.0,0.29,0.03,1.68,10.51
600138,2024-03-27 00:00:00,2024-03-27,10.52,10.32,10.62,10.31,12191800,128610475.0,-2.09,-0.22,1.68,10.54
600138,2024-03-28 00:00:00,2024-03-28,10.32,10.48,10.54,10.3,11397800,120207001.0,1.55,0.16,1.57,10.32
